1	2
1	3
2	9
3	15
4	11
5	7
5	12
6	16
7	13
8	13
9	12
9	18
10	16
10	22
11	22
13	19
14	17
14	18
15	21
16	20
17	21
18	26
19	24
20	23
20	25
21	29
22	25
22	28
23	24
23	30
24	35
25	30
25	36
26	27
26	32
27	31
27	33
28	34
29	32
30	37
31	42
32	40
33	35
33	43
34	38
35	37
36	38
36	39
37	41
38	44
39	44
39	46
40	48
40	51
41	46
42	43
42	47
44	49
45	49
46	50
47	48
47	57
48	58
49	56
50	55
50	63
51	52
52	58
52	60
53	57
53	67
54	55
54	59
55	62
56	61
57	68
58	66
59	69
60	66
61	64
61	71
62	70
63	65
63	70
64	65
65	77
66	68
66	75
67	72
67	73
68	73
69	74
70	84
71	77
72	74
72	82
73	80
74	76
75	79
76	78
77	84
77	86
78	81
78	83
79	80
79	93
80	94
81	82
82	89
83	88
84	90
85	89
85	91
86	96
87	90
88	95
90	97
91	94
92	98
93	94
93	98
95	100
96	97
97	99
99	100
